timestamp,open,high,low,close,open_bid,open_ask,high_bid,high_ask,low_bid,low_ask,close_bid,close_ask,spread,volume
2026-07-28T13:35:00+00:00,11362.4,11364.5,11361.8,11363.3,11362.1,11362.7,11364.2,11364.8,11361.5,11362.1,11363,11363.6,0.6,134
2026-07-28T13:40:00+00:00,11363.1,11365.5,11361.7,11364.9,11362.8,11363.4,11365.2,11365.8,11361.4,11362,11364.6,11365.2,0.6,97
2026-07-28T13:45:00+00:00,11365,11367.6,11364.9,11367.4,11364.7,11365.3,11367.3,11367.9,11364.6,11365.2,11367.1,11367.7,0.6,128
2026-07-28T13:50:00+00:00,11367.3,11368.6,11364.8,11365.4,11367,11367.6,11368.3,11368.9,11364.5,11365.1,11365.1,11365.7,0.6,150
2026-07-28T13:55:00+00:00,11365.3,11367.2,11365.3,11365.45,11365,11365.6,11366.9,11367.5,11365,11365.6,11365,11365.9,0.9,114
2026-07-28T14:00:00+00:00,11365.55,11368.7,11365.5,11367.9,11365.1,11366,11368.4,11369,11365.1,11365.9,11367.6,11368.2,0.6,130
2026-07-28T14:05:00+00:00,11368,11369.9,11367.8,11369.4,11367.7,11368.3,11369.6,11370.2,11367.5,11368.1,11369.1,11369.7,0.6,119
2026-07-28T14:10:00+00:00,11369.5,11370.6,11366.5,11366.7,11369.2,11369.8,11370.3,11370.9,11366.2,11366.8,11366.4,11367,0.6,107
2026-07-28T14:15:00+00:00,11366.9,11368.5,11366.1,11368.1,11366.6,11367.2,11368.2,11368.8,11365.8,11366.4,11367.8,11368.4,0.6,131
2026-07-28T14:20:00+00:00,11368,11370.4,11367.9,11368.7,11367.7,11368.3,11370.1,11370.7,11367.6,11368.2,11368.4,11369,0.6,111
2026-07-28T14:25:00+00:00,11368.6,11368.6,11366.7,11367.2,11368.3,11368.9,11368.3,11368.9,11366.4,11367,11366.9,11367.5,0.6,119
2026-07-28T14:30:00+00:00,11367.1,11370.4,11367,11369.3,11366.8,11367.4,11370.1,11370.7,11366.7,11367.3,11369,11369.6,0.6,154
2026-07-28T14:35:00+00:00,11369.4,11370.5,11367.6,11368.6,11369.1,11369.7,11370.2,11370.8,11367.3,11367.9,11368.3,11368.9,0.6,172
2026-07-28T14:40:00+00:00,11368.4,11370.5,11368.4,11369.1,11368.1,11368.7,11370.2,11370.8,11368.1,11368.7,11368.8,11369.4,0.6,144
2026-07-28T14:45:00+00:00,11368.9,11374.3,11367.9,11373.3,11368.6,11369.2,11374,11374.6,11367.6,11368.2,11373,11373.6,0.6,205
2026-07-28T14:50:00+00:00,11373.2,11374.1,11371.6,11372.6,11372.9,11373.5,11373.8,11374.4,11371.3,11371.9,11372.3,11372.9,0.6,258
2026-07-28T14:55:00+00:00,11372.5,11372.7,11370.3,11372.2,11372.2,11372.8,11372.4,11373,11370,11370.6,11371.9,11372.5,0.6,184
2026-07-28T15:00:00+00:00,11371.75,11374.2,11370.3,11374,11371.2,11372.3,11373.9,11374.5,11369.2,11371.4,11373.7,11374.3,0.6,197
2026-07-28T15:05:00+00:00,11373.9,11375.4,11371.6,11374.5,11373.6,11374.2,11375.1,11375.7,11371.3,11371.9,11374.2,11374.8,0.6,196
2026-07-28T15:10:00+00:00,11374.4,11375.8,11373.1,11373.6,11374.1,11374.7,11375.5,11376.1,11372.8,11373.4,11373.3,11373.9,0.6,225
2026-07-28T15:15:00+00:00,11373.7,11373.7,11371.7,11372.6,11373.4,11374,11373.4,11374,11371.4,11372,11372.3,11372.9,0.6,211
2026-07-28T15:20:00+00:00,11372.5,11375.1,11372.4,11374.7,11372.2,11372.8,11374.8,11375.4,11372.1,11372.7,11374.4,11375,0.6,195
2026-07-28T15:25:00+00:00,11374.6,11378.4,11374.4,11378.3,11374.3,11374.9,11378.1,11378.7,11374.1,11374.7,11378,11378.6,0.6,232
2026-07-28T15:30:00+00:00,11378.2,11379.1,11376.8,11377,11377.9,11378.5,11378.8,11379.4,11376.5,11377.1,11376.7,11377.3,0.6,214
2026-07-28T15:35:00+00:00,11377.4,11377.9,11375.8,11377.5,11377.1,11377.7,11377.6,11378.2,11375.5,11376.1,11377.2,11377.8,0.6,172
