timestamp,open,high,low,close,open_bid,open_ask,high_bid,high_ask,low_bid,low_ask,close_bid,close_ask,spread,volume
2026-05-31T21:00:00+00:00,15937.4,15937.85,15936.4,15936.8,15934.4,15940.4,15935.2,15940.5,15934.4,15938.4,15935.2,15938.4,3.2,4.499999881
2026-05-31T21:05:00+00:00,15935.95,15936.95,15935.85,15936.5,15933.3,15938.6,15934.9,15939,15933.3,15938.4,15934.6,15938.4,3.8,26.10000014
2026-05-31T21:10:00+00:00,15936.6,15936.95,15936.5,15936.95,15934.7,15938.5,15935.2,15938.7,15934.6,15938.4,15935.2,15938.7,3.5,14.70000017
2026-05-31T21:15:00+00:00,15936.75,15937.1,15936.7,15936.95,15935.1,15938.4,15935.4,15938.8,15935,15938.4,15935.3,15938.6,3.3,19.20000076
2026-05-31T21:20:00+00:00,15937.15,15937.4,15936.65,15936.9,15935.6,15938.7,15935.6,15939.2,15934.6,15938.7,15934.6,15939.2,4.6,4.800000191
2026-05-31T21:25:00+00:00,15936.8,15936.8,15936.8,15936.8,15934.3,15939.3,15934.3,15939.3,15934.3,15939.3,15934.3,15939.3,5,5.100000024
2026-05-31T21:30:00+00:00,15937.05,15937.4,15936.4,15936.75,15935.1,15939,15935.2,15939.6,15933.9,15938.9,15933.9,15939.6,5.7,13.20000029
2026-05-31T21:35:00+00:00,15936.95,15937.25,15933.9,15934.25,15934.7,15939.2,15935.3,15939.2,15932.3,15935.5,15932.4,15936.1,3.7,36.00000095
2026-05-31T21:40:00+00:00,15934.05,15934.05,15933.7,15933.75,15932.5,15935.6,15932.5,15935.6,15932.2,15935.2,15932.3,15935.2,2.9,9.600000381
2026-05-31T21:45:00+00:00,15934.35,15936.55,15934.35,15936.45,15932.7,15936,15934.2,15938.9,15932.7,15936,15934.1,15938.8,4.7,14.10000026
2026-05-31T21:50:00+00:00,15936.45,15936.9,15936.2,15936.6,15934,15938.9,15934.2,15939.6,15933.6,15938.8,15933.6,15939.6,6,20.40000057
2026-05-31T21:55:00+00:00,15936.55,15936.95,15935.25,15935.3,15933.5,15939.6,15934.3,15939.6,15933.5,15937,15933.6,15937,3.4,29.40000081
2026-05-31T22:00:00+00:00,15935.25,15941.4,15933.4,15939,15933.6,15936.9,15940.2,15942.6,15931.9,15934.9,15938.2,15939.8,1.6,645.9299921
2026-05-31T22:05:00+00:00,15939.1,15942.2,15937.8,15939.15,15938.2,15940,15941.4,15943,15937.1,15938.5,15938.4,15939.9,1.5,777.1400153
2026-05-31T22:10:00+00:00,15939.25,15940.3,15937.8,15937.95,15938.6,15939.9,15939.3,15941.3,15937.1,15938.5,15937.3,15938.6,1.3,578.2500166
2026-05-31T22:15:00+00:00,15937.9,15939.8,15937.5,15939.45,15937.1,15938.7,15939.1,15940.5,15936.8,15938.2,15938.9,15940,1.1,383.7000108
